DRAW_ID;N1;N2;N3;N4;N5;RANK1;RANK2;RANK3;RANK4;RANK5;RANK6;RANK7;RANK8;RANK9;RANK10;RANK11;RANK12;NB_TICKETS
265;4;5;15;19;41;0;2;9;28;533;1317;994;15059;25061;61904;78837;368370;17718718
266;20;27;30;36;43;1;4;4;74;918;2060;2817;40405;46390;99273;225991;713910;36062200
267;8;9;24;43;48;0;3;3;29;607;1193;2084;35984;30953;54717;202039;489273;21362477
268;3;6;29;32;41;0;6;12;35;794;2361;1694;26725;34215;109905;148067;509929;34473074
269;10;28;33;48;49;0;1;5;25;540;1164;1122;15880;23816;55573;83741;357242;19707865
270;8;13;26;39;43;1;15;26;141;2114;3386;5633;79750;81131;133330;411536;1125661;44498584
271;22;25;27;36;37;0;6;5;46;542;1039;2029;33014;31131;53872;181981;497903;21161643
272;11;20;30;35;45;0;7;13;50;1310;2375;2546;36414;55448;98125;191289;807259;34486225
273;1;8;18;25;30;0;3;13;33;762;2107;1166;16629;32271;80452;86303;429980;20988601
274;4;17;23;36;46;0;5;9;52;896;2424;1863;27067;42120;103421;144806;615540;33021200
275;24;27;29;34;36;1;0;8;24;577;1035;1338;20438;28358;48352;112363;449052;19306653
276;9;15;23;31;50;1;7;11;43;1200;2897;2251;31393;50107;123146;162436;707217;34676559
277;15;16;28;30;46;0;2;8;35;672;1146;1486;21898;31068;55319;115946;449131;19536554
278;3;4;12;23;50;1;6;9;96;1638;3154;4895;67484;77204;145513;318937;1006306;37376758
279;1;10;25;43;47;0;5;5;18;641;1190;1426;21909;30858;57881;123959;481172;22781518
280;3;32;36;39;47;0;3;4;45;955;1730;2614;40247;46178;86633;231625;708297;35962690
